HH7_region,country_orig,name_orig,country_matched,NAME_1_matched,NAME_2_matched,NAME_3_matched,NAME_4_matched,NAME_1_matched_fuzz,NAME_2_matched_fuzz,NAME_3_matched_fuzz,NAME_4_matched_fuzz,accepted,level,substituted in Name_1 with NA from:,Aggregate
Bagerhat,Bangladesh,Bagerhat,Bangladesh,NA,Bagerhat,NA,NA,NA,NA,NA,NA,1,,,
Bandarban,Bangladesh,Bandarban,Bangladesh,NA,Bandarban,NA,NA,NA,NA,NA,NA,1,,,
Barguna,Bangladesh,Barguna,Bangladesh,NA,Barguna,NA,NA,NA,NA,NA,NA,1,,,
Barishal,Bangladesh,Barishal,Bangladesh,NA,NA,NA,NA,NA,Barisal,NA,NA,1,2,(available at both level 1 and 2) Barisal,
Bhola,Bangladesh,Bhola,Bangladesh,NA,Bhola,NA,NA,NA,NA,NA,NA,1,,,
Bogura,Bangladesh,Bogura,Bangladesh,NA,NA,NA,NA,NA,Bogra,NA,NA,1,2,Barisal,
Brahmanbaria,Bangladesh,Brahmanbaria,Bangladesh,NA,NA,NA,NA,NA,Brahamanbaria,NA,NA,1,2,Rajshahi,
Chandpur,Bangladesh,Chandpur,Bangladesh,NA,Chandpur,NA,NA,NA,NA,NA,NA,1,,,
Chapai Nawabganj,Bangladesh,Chapai Nawabganj,Bangladesh,NA,NA,NA,NA,NA,Nawabganj,NA,NA,1,2,Chittagong,
Chattogram,Bangladesh,Chattogram,Bangladesh,NA,NA,NA,NA,NA,Chittagong,NA,NA,1,2,(available at both level 1 and 2) Chittagong,
Chuadanga,Bangladesh,Chuadanga,Bangladesh,NA,Chuadanga,NA,NA,NA,NA,NA,NA,1,,,
Cox s Bazar,Bangladesh,Cox s Bazar,Bangladesh,NA,NA,NA,NA,NA,Cox'S Bazar,NA,NA,1,2,Cox's Bazar,
Cumilla,Bangladesh,Cumilla,Bangladesh,NA,NA,NA,NA,NA,Comilla,NA,NA,1,2,Khulna,
Dhaka,Bangladesh,Dhaka,Bangladesh,NA,Dhaka,NA,NA,NA,NA,NA,NA,1,,,
Dinajpur,Bangladesh,Dinajpur,Bangladesh,NA,Dinajpur,NA,NA,NA,NA,NA,NA,1,,,
Faridpur,Bangladesh,Faridpur,Bangladesh,NA,Faridpur,NA,NA,NA,NA,NA,NA,1,,"(available at both level 1, 2 and 3)",
Feni,Bangladesh,Feni,Bangladesh,NA,Feni,NA,NA,NA,NA,NA,NA,1,,,
Gaibandha,Bangladesh,Gaibandha,Bangladesh,NA,Gaibandha,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
Gazipur,Bangladesh,Gazipur,Bangladesh,NA,Gazipur,NA,NA,NA,NA,NA,NA,1,,,
Gopalganj,Bangladesh,Gopalganj,Bangladesh,NA,Gopalganj,NA,NA,NA,NA,NA,NA,1,,,
Habiganj,Bangladesh,Habiganj,Bangladesh,NA,Habiganj,NA,NA,NA,NA,NA,NA,1,,,
Jamalpur,Bangladesh,Jamalpur,Bangladesh,NA,Jamalpur,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
Jashore,Bangladesh,Jashore,Bangladesh,NA,NA,NA,NA,NA,Jessore,NA,NA,1,2,Rajshahi,
Jhalokati,Bangladesh,Jhalokati,Bangladesh,NA,Jhalokati,NA,NA,NA,NA,NA,NA,1,,,
Jhenaidah,Bangladesh,Jhenaidah,Bangladesh,NA,Jhenaidah,NA,NA,NA,NA,NA,NA,1,,,
Joypurhat,Bangladesh,Joypurhat,Bangladesh,NA,Joypurhat,NA,NA,NA,NA,NA,NA,1,,,
Khagrachhari,Bangladesh,Khagrachhari,Bangladesh,NA,Khagrachhari,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
Khulna,Bangladesh,Khulna,Bangladesh,NA,Khulna,NA,NA,NA,NA,NA,NA,1,,(available at multiple levels),
