HH7_region,country_orig,name_orig,country_matched,NAME_1_matched,NAME_2_matched,NAME_3_matched,NAME_4_matched,NAME_1_matched_fuzz,NAME_2_matched_fuzz,NAME_3_matched_fuzz,NAME_4_matched_fuzz,accepted,level,substituted in Name_1 with NA from:,Aggregate
Alto Paran<e1>,NA,Alto Paran   Paraguay,Paraguay,,,,,Alto Paraná,,,,1,,,
Asunci<f3>n,NA,Asunci N  Paraguay,Paraguay,,,,,Asunción,,,,1,,,
ATTAPEU,Lao,Attapeu,Laos,,,,,Attapu,,,,1,,,
Attock,PakistanPunjab,Attock,Pakistan,,,,,,,Attok,,1,,,
Bafat<e1>,NA,Bafat   Guinea Bissau,Guinea-Bissau,,,,,Bafatá,,,,1,,,
Bahawalnagar,PakistanPunjab,Bahawalnagar,Pakistan,,,,,,,Bahawalnagar,,1,,,
Bahawalpur,PakistanPunjab,Bahawalpur,Pakistan,,,,,,,Bahawalpur,,1,,,
Bhakkar,PakistanPunjab,Bhakkar,Pakistan,,,,,,,Bhakkar,,1,,,
BOKEO,Lao,Bokeo,Laos,,,,,Bokeo,,,,1,,,
Bolama/Bijag<f3>s,NA,Bolama Bijag S  Guinea Bissau,Guinea-Bissau,,,,,Bolama,,,,1,,,
Boquer<f3>n,NA,Boquer N  Paraguay,Paraguay,,,,,Boquerón,,,,1,,,
BORIKHAMXAY,Lao,Borikhamxay,Laos,,,,,Bolikhamxai,,,,1,,,
Caaguaz<fa>,NA,Caaguaz   Paraguay,Paraguay,,,,,Caaguazú,,,,1,,,
CENTRAL GILBERT,Kiribati,Central Gilbert,Kiribati,,,,,,,,,1,,,
Chakwal,PakistanPunjab,Chakwal,Pakistan,,,,,,,Chakwal,,1,,,
CHAMPASACK,Lao,Champasack,Laos,,,,,Champasak,,,,1,,,
Chiniot,PakistanPunjab,Chiniot,Pakistan,,,,,,,Jhang,,1,,,Chiniot only makes up part of Jhang on the GADM map
DG Khan,PakistanPunjab,Dg Khan,Pakistan,,,,,,,Dera Ghazi Kha,,1,,,
EAST,SierraLeone,East,Sierra Leone,,,,,Eastern,,,,1,,,
Faisalabad,PakistanPunjab,Faisalabad,Pakistan,,,,,,,Faisalabad,,1,,,
Gab<fa>,NA,Gab   Guinea Bissau,Guinea-Bissau,,,,,Gabú,,,,1,,,
Gujranwala,PakistanPunjab,Gujranwala,Pakistan,,,,,,,Gujranwala,,1,,,
Gujrat,PakistanPunjab,Gujrat,Pakistan,,,,,,,Gujrat,,1,,,
Hafizabad,PakistanPunjab,Hafizabad,Pakistan,,,,,,,Hafizabad,,1,,,
HUAPHANH,Lao,Huaphanh,Laos,,,,,Houaphan,,,,1,,,
Itap<fa>a,NA,Itap A  Paraguay,Paraguay,,,,,Itapúa,,,,1,,,
Jhang,PakistanPunjab,Jhang,Pakistan,,,,,,,Jhang,,1,,,
