variable,cluster
Abs_Lat,1
CHELSA_BIO_Annual_Mean_Temperature,1
CHELSA_BIO_Isothermality,1
CHELSA_BIO_Mean_Temperature_of_Coldest_Quarter,1
CHELSA_BIO_Mean_Temperature_of_Driest_Quarter,1
CHELSA_BIO_Min_Temperature_of_Coldest_Month,1
CHELSA_BIO_Temperature_Annual_Range,1
CHELSA_BIO_Temperature_Seasonality,1
CGIAR_Aridity_Index,2
CGIAR_PET,3
CHELSA_BIO_Max_Temperature_of_Warmest_Month,3
CHELSA_BIO_Mean_Temperature_of_Warmest_Quarter,3
CHELSA_BIO_Annual_Precipitation,4
CHELSA_BIO_Precipitation_of_Wettest_Month,4
CHELSA_BIO_Precipitation_of_Wettest_Quarter,4
CHELSA_BIO_Mean_Diurnal_Range,5
CHELSA_BIO_Mean_Temperature_of_Wettest_Quarter,6
CHELSA_BIO_Precipitation_Seasonality,7
CHELSA_BIO_Precipitation_of_Coldest_Quarter,8
CHELSA_BIO_Precipitation_of_Driest_Month,9
CHELSA_BIO_Precipitation_of_Driest_Quarter,9
CHELSA_BIO_Precipitation_of_Warmest_Quarter,10
CIFOR_TropicalPeatlandDepth,11
CIFOR_TropicalPeatlandExtent,11
CMS_HeterotrophicRespiration_usingEquationFromBondLamberty2004,12
CMS_HeterotrophicRespiration_usingEquationFromSubke2006,12
CMS_SoilRespiration_mean,12
CSP_Global_Human_Modification,13
WCS_Human_Footprint_2009,13
ConsensusLandCoverClass_Barren,14
ConsensusLandCoverClass_Cultivated_and_Managed_Vegetation,15
ConsensusLandCover_Human_Development_Percentage,15
ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,16
ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,17
IPCC_Global_Biomass,17
ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,18
ConsensusLandCoverClass_Herbaceous_Vegetation,19
ConsensusLandCoverClass_Mixed_Other_Trees,20
ConsensusLandCoverClass_Open_Water,21
ConsensusLandCoverClass_Regularly_Flooded_Vegetation,22
ConsensusLandCoverClass_Shrubs,23
ConsensusLandCoverClass_Snow_Ice,24
ConsensusLandCoverClass_Urban_Builtup,25
CrowtherLab_Tree_Density,26
EarthEnvCloudCover_CloudForestPrediction,27
EarthEnvCloudCover_Mean,28
EarthEnvTexture_CoOfVar_EVI,29
EarthEnvTexture_Contrast_EVI,30
EarthEnvTexture_Dissimilarity_EVI,30
EarthEnvTexture_Range_EVI,30
EarthEnvTexture_Std_EVI,30
EarthEnvTexture_Variance_EVI,30
EarthEnvTexture_Correlation_EVI,31
EarthEnvTexture_Entropy_EVI,32
EarthEnvTexture_Homogeneity_EVI,32
EarthEnvTexture_Maximum_EVI,32
EarthEnvTexture_Shannon_Index,32
EarthEnvTexture_Simpson_Index,32
EarthEnvTexture_Uniformity_EVI,32
EarthEnvTexture_Evenness_EVI,33
EarthEnvTopoMed_1stOrderPartialDerivEW,34
EarthEnvTopoMed_1stOrderPartialDerivNS,35
EarthEnvTopoMed_2ndOrderPartialDerivEW,36
EarthEnvTopoMed_2ndOrderPartialDerivNS,37
EarthEnvTopoMed_TopoPositionIndex,37
EarthEnvTopoMed_AspectCosine,38
EarthEnvTopoMed_AspectSine,39
EarthEnvTopoMed_Eastness,40
EarthEnvTopoMed_Elevation,41
EarthEnvTopoMed_Northness,42
EarthEnvTopoMed_ProfileCurvature,43
EarthEnvTopoMed_Roughness,44
EarthEnvTopoMed_Slope,44
EarthEnvTopoMed_TerrainRuggednessIndex,44
EarthEnvTopoMed_VectorRuggednessMeasure,44
EarthEnvTopoMed_TangentialCurvature,45
EsaCci_BurntAreasProbability,46
FanEtAl_Depth_to_Water_Table_AnnualMean,47
FanEtAl_Depth_to_Water_Table_AnnualSD,48
GHS_Population_Density,49
GLW3_RuminantsDistribution_downsampled10km,50
GPWv4_Population_Density,51
GiriEtAl_MangrovesExtent,52
GoshEtAl_GlobalGDP2006,53
MODIS_EVI,54
MODIS_FPAR,54
MODIS_GPP,54
MODIS_LAI,54
MODIS_NDVI,54
MODIS_NPP,54
MODIS_Nadir_Reflectance_Band1,55
MODIS_Nadir_Reflectance_Band3,55
MODIS_Nadir_Reflectance_Band4,55
MODIS_Nadir_Reflectance_Band2,56
MODIS_Nadir_Reflectance_Band5,57
MODIS_Nadir_Reflectance_Band6,58
MODIS_Nadir_Reflectance_Band7,58
NASA_ForestCanopyHeight,59
PelletierEtAl_SoilAndSedimentaryDepositThicknesses,60
SG_Absolute_depth_to_bedrock,61
SG_Bulk_density_015cm,62
SG_Saturated_H2O_Content_015cm,62
SG_CEC_015cm,63
SG_H2O_Capacity_015cm,63
SG_Clay_Content_015cm,64
SG_Coarse_fragments_015cm,65
SG_Depth_to_bedrock,66
SG_SOC_Content_015cm,67
SG_SOC_Density_015cm,67
SG_SOC_Stock_005cm_to_015cm,67
SG_Silt_Content_015cm,68
SG_Soil_H2O_Capacity_pF_20_015cm,69
SG_Soil_pH_H2O_015cm,70
SpawnEtAl_HarmonizedAGBiomass,71
UNEP_WCMC_Biomass,71
SpawnEtAl_HarmonizedBGBiomass,72
TootchiEtAl_WetlandsRegularlyFlooded,73
