"","min_rows","mtries","ntrees","sample_rate","model_ids","r2"
"1",3,20,200,0.8,"rf.grid_Access_model_10",0.477450952923363
"2",1,20,200,0.8,"rf.grid_Access_model_18",0.477450952923363
"3",5,20,200,0.8,"rf.grid_Access_model_30",0.477450952923363
"4",1,20,100,0.8,"rf.grid_Access_model_1",0.470389170162633
"5",5,20,100,0.8,"rf.grid_Access_model_27",0.470389170162633
"6",3,20,100,0.8,"rf.grid_Access_model_41",0.470389170162633
"7",3,13,200,0.8,"rf.grid_Access_model_15",0.469630647441414
"8",5,13,200,0.8,"rf.grid_Access_model_4",0.469630647441414
"9",1,13,200,0.8,"rf.grid_Access_model_42",0.469630647441414
"10",1,13,200,0.6,"rf.grid_Access_model_20",0.463745124081552
"11",5,13,200,0.6,"rf.grid_Access_model_34",0.463745124081552
"12",3,13,200,0.6,"rf.grid_Access_model_44",0.463745124081552
"13",3,20,200,0.6,"rf.grid_Access_model_21",0.455106710260211
"14",1,20,200,0.6,"rf.grid_Access_model_33",0.455106710260211
"15",5,20,200,0.6,"rf.grid_Access_model_48",0.455106710260211
"16",3,13,100,0.6,"rf.grid_Access_model_11",0.452565812953127
"17",1,13,100,0.6,"rf.grid_Access_model_31",0.452565812953127
"18",5,13,100,0.6,"rf.grid_Access_model_7",0.452565812953127
"19",5,10,200,0.8,"rf.grid_Access_model_12",0.451724326675161
"20",3,10,200,0.8,"rf.grid_Access_model_23",0.451724326675161
"21",1,10,200,0.8,"rf.grid_Access_model_24",0.451724326675161
"22",1,20,100,0.6,"rf.grid_Access_model_3",0.44911755745467
"23",3,20,100,0.6,"rf.grid_Access_model_32",0.44911755745467
"24",5,20,100,0.6,"rf.grid_Access_model_45",0.44911755745467
"25",3,10,100,0.8,"rf.grid_Access_model_14",0.447945859296145
"26",5,10,100,0.8,"rf.grid_Access_model_28",0.447945859296145
"27",1,10,100,0.8,"rf.grid_Access_model_35",0.447945859296145
"28",1,13,100,0.8,"rf.grid_Access_model_36",0.443796967980849
"29",3,13,100,0.8,"rf.grid_Access_model_38",0.443796967980849
"30",5,13,100,0.8,"rf.grid_Access_model_9",0.443796967980849
"31",3,6,200,0.8,"rf.grid_Access_model_40",0.433702334658171
"32",5,6,200,0.8,"rf.grid_Access_model_46",0.433702334658171
"33",1,6,200,0.8,"rf.grid_Access_model_8",0.433702334658171
"34",1,10,200,0.6,"rf.grid_Access_model_17",0.430814798325951
"35",5,10,200,0.6,"rf.grid_Access_model_2",0.430814798325951
"36",3,10,200,0.6,"rf.grid_Access_model_47",0.430814798325951
"37",1,10,100,0.6,"rf.grid_Access_model_22",0.418125172358523
"38",5,10,100,0.6,"rf.grid_Access_model_39",0.418125172358523
"39",3,10,100,0.6,"rf.grid_Access_model_6",0.418125172358523
"40",1,6,200,0.6,"rf.grid_Access_model_16",0.417295355598656
"41",5,6,200,0.6,"rf.grid_Access_model_19",0.417295355598656
"42",3,6,200,0.6,"rf.grid_Access_model_5",0.417295355598656
"43",5,6,100,0.8,"rf.grid_Access_model_29",0.413560898458786
"44",1,6,100,0.8,"rf.grid_Access_model_37",0.413560898458786
"45",3,6,100,0.8,"rf.grid_Access_model_43",0.413560898458786
"46",1,6,100,0.6,"rf.grid_Access_model_13",0.396916586263584
"47",3,6,100,0.6,"rf.grid_Access_model_25",0.396916586263584
"48",5,6,100,0.6,"rf.grid_Access_model_26",0.396916586263584
