"","min_rows","mtries","ntrees","sample_rate","model_ids","r2"
"1",1,10,200,0.6,"rf.grid__model_17",0.0125360950948948
"2",5,10,200,0.6,"rf.grid__model_2",0.0125360950948948
"3",3,10,200,0.6,"rf.grid__model_47",0.0125360950948948
"4",1,13,200,0.6,"rf.grid__model_20",0.00634290396171189
"5",5,13,200,0.6,"rf.grid__model_34",0.00634290396171189
"6",3,13,200,0.6,"rf.grid__model_44",0.00634290396171189
"7",1,6,200,0.6,"rf.grid__model_16",0.00486589736470588
"8",5,6,200,0.6,"rf.grid__model_19",0.00486589736470588
"9",3,6,200,0.6,"rf.grid__model_5",0.00486589736470588
"10",3,20,200,0.8,"rf.grid__model_10",-0.000988938534965511
"11",1,20,200,0.8,"rf.grid__model_18",-0.000988938534965511
"12",5,20,200,0.8,"rf.grid__model_30",-0.000988938534965511
"13",3,20,200,0.6,"rf.grid__model_21",-0.00302643513960632
"14",1,20,200,0.6,"rf.grid__model_33",-0.00302643513960632
"15",5,20,200,0.6,"rf.grid__model_48",-0.00302643513960632
"16",1,20,100,0.6,"rf.grid__model_3",-0.00813991254826485
"17",3,20,100,0.6,"rf.grid__model_32",-0.00813991254826485
"18",5,20,100,0.6,"rf.grid__model_45",-0.00813991254826485
"19",3,13,200,0.8,"rf.grid__model_15",-0.0115095477287326
"20",5,13,200,0.8,"rf.grid__model_4",-0.0115095477287326
"21",1,13,200,0.8,"rf.grid__model_42",-0.0115095477287326
"22",5,6,100,0.8,"rf.grid__model_29",-0.0118446031756074
"23",1,6,100,0.8,"rf.grid__model_37",-0.0118446031756074
"24",3,6,100,0.8,"rf.grid__model_43",-0.0118446031756074
"25",1,13,100,0.8,"rf.grid__model_36",-0.0164478938107195
"26",3,13,100,0.8,"rf.grid__model_38",-0.0164478938107195
"27",5,13,100,0.8,"rf.grid__model_9",-0.0164478938107195
"28",1,20,100,0.8,"rf.grid__model_1",-0.0170141526303629
"29",5,20,100,0.8,"rf.grid__model_27",-0.0170141526303629
"30",3,20,100,0.8,"rf.grid__model_41",-0.0170141526303629
"31",1,10,100,0.6,"rf.grid__model_22",-0.0195367646472844
"32",5,10,100,0.6,"rf.grid__model_39",-0.0195367646472844
"33",3,10,100,0.6,"rf.grid__model_6",-0.0195367646472844
"34",3,6,200,0.8,"rf.grid__model_40",-0.0207238847558335
"35",5,6,200,0.8,"rf.grid__model_46",-0.0207238847558335
"36",1,6,200,0.8,"rf.grid__model_8",-0.0207238847558335
"37",3,13,100,0.6,"rf.grid__model_11",-0.0233773974471294
"38",1,13,100,0.6,"rf.grid__model_31",-0.0233773974471294
"39",5,13,100,0.6,"rf.grid__model_7",-0.0233773974471294
"40",1,6,100,0.6,"rf.grid__model_13",-0.0265583649475323
"41",3,6,100,0.6,"rf.grid__model_25",-0.0265583649475323
"42",5,6,100,0.6,"rf.grid__model_26",-0.0265583649475323
"43",5,10,200,0.8,"rf.grid__model_12",-0.0299497982471375
"44",3,10,200,0.8,"rf.grid__model_23",-0.0299497982471375
"45",1,10,200,0.8,"rf.grid__model_24",-0.0299497982471375
"46",3,10,100,0.8,"rf.grid__model_14",-0.0324545866273589
"47",5,10,100,0.8,"rf.grid__model_28",-0.0324545866273589
"48",1,10,100,0.8,"rf.grid__model_35",-0.0324545866273589
