"","min_rows","mtries","ntrees","sample_rate","model_ids","r2"
"1",1,13,200,0.6,"rf.grid_improved_model_20",0.246573320407079
"2",5,13,200,0.6,"rf.grid_improved_model_34",0.246573320407079
"3",3,13,200,0.6,"rf.grid_improved_model_44",0.246573320407079
"4",1,10,200,0.6,"rf.grid_improved_model_17",0.245002828623201
"5",5,10,200,0.6,"rf.grid_improved_model_2",0.245002828623201
"6",3,10,200,0.6,"rf.grid_improved_model_47",0.245002828623201
"7",5,10,200,0.8,"rf.grid_improved_model_12",0.244172690933516
"8",3,10,200,0.8,"rf.grid_improved_model_23",0.244172690933516
"9",1,10,200,0.8,"rf.grid_improved_model_24",0.244172690933516
"10",3,20,200,0.8,"rf.grid_improved_model_10",0.243763991160603
"11",1,20,200,0.8,"rf.grid_improved_model_18",0.243763991160603
"12",5,20,200,0.8,"rf.grid_improved_model_30",0.243763991160603
"13",1,6,200,0.6,"rf.grid_improved_model_16",0.241991152116023
"14",5,6,200,0.6,"rf.grid_improved_model_19",0.241991152116023
"15",3,6,200,0.6,"rf.grid_improved_model_5",0.241991152116023
"16",3,20,200,0.6,"rf.grid_improved_model_21",0.240789854567185
"17",1,20,200,0.6,"rf.grid_improved_model_33",0.240789854567185
"18",5,20,200,0.6,"rf.grid_improved_model_48",0.240789854567185
"19",3,6,200,0.8,"rf.grid_improved_model_40",0.238487093368872
"20",5,6,200,0.8,"rf.grid_improved_model_46",0.238487093368872
"21",1,6,200,0.8,"rf.grid_improved_model_8",0.238487093368872
"22",3,13,100,0.6,"rf.grid_improved_model_11",0.238183843589837
"23",1,13,100,0.6,"rf.grid_improved_model_31",0.238183843589837
"24",5,13,100,0.6,"rf.grid_improved_model_7",0.238183843589837
"25",1,6,100,0.6,"rf.grid_improved_model_13",0.236386519387641
"26",3,6,100,0.6,"rf.grid_improved_model_25",0.236386519387641
"27",5,6,100,0.6,"rf.grid_improved_model_26",0.236386519387641
"28",3,13,200,0.8,"rf.grid_improved_model_15",0.235049590213628
"29",5,13,200,0.8,"rf.grid_improved_model_4",0.235049590213628
"30",1,13,200,0.8,"rf.grid_improved_model_42",0.235049590213628
"31",1,10,100,0.6,"rf.grid_improved_model_22",0.227103352424691
"32",5,10,100,0.6,"rf.grid_improved_model_39",0.227103352424691
"33",3,10,100,0.6,"rf.grid_improved_model_6",0.227103352424691
"34",1,20,100,0.8,"rf.grid_improved_model_1",0.22653979466019
"35",5,20,100,0.8,"rf.grid_improved_model_27",0.22653979466019
"36",3,20,100,0.8,"rf.grid_improved_model_41",0.22653979466019
"37",5,6,100,0.8,"rf.grid_improved_model_29",0.225431257523962
"38",1,6,100,0.8,"rf.grid_improved_model_37",0.225431257523962
"39",3,6,100,0.8,"rf.grid_improved_model_43",0.225431257523962
"40",1,20,100,0.6,"rf.grid_improved_model_3",0.222508561634653
"41",3,20,100,0.6,"rf.grid_improved_model_32",0.222508561634653
"42",5,20,100,0.6,"rf.grid_improved_model_45",0.222508561634653
"43",1,13,100,0.8,"rf.grid_improved_model_36",0.214567251899893
"44",3,13,100,0.8,"rf.grid_improved_model_38",0.214567251899893
"45",5,13,100,0.8,"rf.grid_improved_model_9",0.214567251899893
"46",3,10,100,0.8,"rf.grid_improved_model_14",0.212748492000627
"47",5,10,100,0.8,"rf.grid_improved_model_28",0.212748492000627
"48",1,10,100,0.8,"rf.grid_improved_model_35",0.212748492000627
