HH7_region,country_orig,matched_name1,matched_name2,matched_name3,matched_name123,NAME_0,NAME_1,NAME_12,NAME_2,NAME_3,Abs_Lat,CGIAR_Aridity_Index,CGIAR_PET,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_BIO_Isothermality,CHELSA_BIO_Max_Temperature_of_Warmest_Month,CHELSA_BIO_Mean_Diurnal_Range,CHELSA_BIO_Mean_Temperature_of_Coldest_Quarter,CHELSA_BIO_Mean_Temperature_of_Driest_Quarter,CHELSA_BIO_Mean_Temperature_of_Warmest_Quarter,CHELSA_BIO_Mean_Temperature_of_Wettest_Quarter,CHELSA_BIO_Min_Temperature_of_Coldest_Month,CHELSA_BIO_Precipitation_Seasonality,CHELSA_BIO_Precipitation_of_Coldest_Quarter,CHELSA_BIO_Precipitation_of_Driest_Month,CHELSA_BIO_Precipitation_of_Driest_Quarter,CHELSA_BIO_Precipitation_of_Warmest_Quarter,CHELSA_BIO_Precipitation_of_Wettest_Month,CHELSA_BIO_Precipitation_of_Wettest_Quarter,CHELSA_BIO_Temperature_Annual_Range,CHELSA_BIO_Temperature_Seasonality,CIFOR_TropicalPeatlandDepth,CIFOR_TropicalPeatlandExtent,CMS_HeterotrophicRespiration_usingEquationFromBondLamberty2004,CMS_HeterotrophicRespiration_usingEquationFromSubke2006,CMS_SoilRespiration_mean,CSP_Global_Human_Modification,ConsensusLandCoverClass_Barren,ConsensusLandCoverClass_Cultivated_and_Managed_Vegetation,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,ConsensusLandCoverClass_Herbaceous_Vegetation,ConsensusLandCoverClass_Mixed_Other_Trees,ConsensusLandCoverClass_Open_Water,ConsensusLandCoverClass_Regularly_Flooded_Vegetation,ConsensusLandCoverClass_Shrubs,ConsensusLandCoverClass_Snow_Ice,ConsensusLandCoverClass_Urban_Builtup,ConsensusLandCover_Human_Development_Percentage,CrowtherLab_Tree_Density,EarthEnvCloudCover_CloudForestPrediction,EarthEnvCloudCover_Mean,EarthEnvTexture_CoOfVar_EVI,EarthEnvTexture_Contrast_EVI,EarthEnvTexture_Correlation_EVI,EarthEnvTexture_Dissimilarity_EVI,EarthEnvTexture_Entropy_EVI,EarthEnvTexture_Evenness_EVI,EarthEnvTexture_Homogeneity_EVI,EarthEnvTexture_Maximum_EVI,EarthEnvTexture_Range_EVI,EarthEnvTexture_Shannon_Index,EarthEnvTexture_Simpson_Index,EarthEnvTexture_Std_EVI,EarthEnvTexture_Uniformity_EVI,EarthEnvTexture_Variance_EVI,EarthEnvTopoMed_1stOrderPartialDerivEW,EarthEnvTopoMed_1stOrderPartialDerivNS,EarthEnvTopoMed_2ndOrderPartialDerivEW,EarthEnvTopoMed_2ndOrderPartialDerivNS,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Eastness,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Northness,EarthEnvTopoMed_ProfileCurvature,EarthEnvTopoMed_Roughness,EarthEnvTopoMed_Slope,EarthEnvTopoMed_TangentialCurvature,EarthEnvTopoMed_TerrainRuggednessIndex,EarthEnvTopoMed_TopoPositionIndex,EarthEnvTopoMed_VectorRuggednessMeasure,EsaCci_BurntAreasProbability,FanEtAl_Depth_to_Water_Table_AnnualMean,FanEtAl_Depth_to_Water_Table_AnnualSD,GHS_Population_Density,GLW3_RuminantsDistribution_downsampled10km,GPWv4_Population_Density,GiriEtAl_MangrovesExtent,GoshEtAl_GlobalGDP2006,IPCC_Global_Biomass,MODIS_EVI,MODIS_FPAR,MODIS_GPP,MODIS_LAI,MODIS_NDVI,MODIS_NPP,MODIS_Nadir_Reflectance_Band1,MODIS_Nadir_Reflectance_Band2,MODIS_Nadir_Reflectance_Band3,MODIS_Nadir_Reflectance_Band4,MODIS_Nadir_Reflectance_Band5,MODIS_Nadir_Reflectance_Band6,MODIS_Nadir_Reflectance_Band7,NASA_ForestCanopyHeight,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,Resolve_Biome,Resolve_Ecoregion,SG_Absolute_depth_to_bedrock,SG_Bulk_density_015cm,SG_CEC_015cm,SG_Clay_Content_015cm,SG_Coarse_fragments_015cm,SG_Depth_to_bedrock,SG_H2O_Capacity_015cm,SG_SOC_Content_015cm,SG_SOC_Density_015cm,SG_SOC_Stock_005cm_to_015cm,SG_Saturated_H2O_Content_015cm,SG_Silt_Content_015cm,SG_Soil_H2O_Capacity_pF_20_015cm,SG_Soil_pH_H2O_015cm,SpawnEtAl_HarmonizedAGBiomass,SpawnEtAl_HarmonizedBGBiomass,TootchiEtAl_WetlandsRegularlyFlooded,UNEP_WCMC_Biomass,WCS_Human_Footprint_2009,WWF_Biome,WWF_Ecoregion
HAUT PLATEAU CENTRE,Algeria,HAUT PLATEAU CENTRE,,,HAUT PLATEAU CENTRE,Algeria,HAUT PLATEAU CENTRE,Djelfa|Laghouat|M'Sila,,,34.32278255,1018.257851,2224.873669,178.9698887,209.9014289,-2381.024362,361.5175542,-2611.841824,75.32387467,290.7429539,297.2124195,185.0504724,20.31042722,37.66041632,61.72540844,5.564727314,23.04849007,27.75640527,27.68733049,76.21914598,-2390.292874,5245.705615,0.000239847,0.000239847,199.6267863,189.4910701,268.5698566,0.211139671,75.80797731,1.785750769,0.000437313,0.004439335,0.03328506,1.027384978,0.651464584,0.062487495,0,20.42297964,0,0.214672503,2.000423272,272.6600624,0,3437.567224,606.4652383,29396.98517,3293.934168,8113.677325,14232.54118,6916.355294,7240.01764,4942.045903,337.4516096,9203.110201,4784.355213,96.98629687,4051.22082,23024.68123,0.00159801,-0.000985254,-5.60E-06,-7.05E-06,-0.051480487,0.113923942,0.049365442,824.0296587,-0.01763251,-1.66E-05,16.75273137,1.414414548,4.88E-06,5.261090075,-0.300030755,0.000326377,0.000365839,57.05234727,0.065280505,2.571109879,6157.568832,46.66043291,0,0.188227107,274.9914345,1112.947126,14.17799558,2328.297119,2.191889737,1523.469697,1216.170797,3121.256871,4160.19378,1123.537704,1961.320246,4921.450621,5184.508102,4662.637189,0.520758354,21.45108275,12,797,8000.392807,1505.729103,14.06415812,13.43246291,8.092220522,199.789941,12.28280611,5.617238048,39.77497988,5.571353946,39.2807121,18.23883812,14.78220755,80.34264789,2.405097635,3.272241025,0.039516893,5.755933732,7.859882588,12,81213.13256
HAUT PLATEAU EST,Algeria,HAUT PLATEAU EST,,,HAUT PLATEAU EST,Algeria,HAUT PLATEAU EST,Batna|Bordj Bou ArrÃ©ridj|Khenchela|Oum el Bouaghi|SÃ©tif|TÃ©bessa,,,35.4425348,1910.589285,1937.828353,162.9023432,361.4113497,-2374.744051,336.0300713,-2616.940009,68.32700626,266.1682956,271.5809178,152.5526712,14.97293647,34.46817612,111.0176586,9.114002139,37.00619777,47.09430571,45.44615079,126.4377872,-2410.442869,4642.55452,0.001379444,0.001377586,292.9965615,287.4898978,459.8607427,0.4526243,37.80571128,21.17324476,0.457743818,0.533214901,1.041045339,0.713632778,1.806003951,0.649935115,0.000175473,35.34218808,0,0.514616189,21.68786095,1608.701177,0,4178.088954,880.3611884,76157.72029,2438.270032,17560.68832,22919.221,8818.002397,4910.878588,2276.596423,709.5063942,15670.91237,7252.670051,202.8450828,1533.682779,58196.65469,-0.001089353,-0.001563254,-6.69E-06,-1.28E-05,-0.095200804,-0.045071594,-0.012337141,879.6508546,-0.043879412,-3.28E-05,42.51768734,3.70559161,1.47E-05,13.46842964,-0.514048704,0.001410288,0.022883922,38.25229779,0.214526102,6.74872554,7724.749309,114.2201696,0,0.528414384,1482.904249,1511.625823,20.55912974,4488.368769,3.456865795,2253.102548,2449.65986,2273.810034,3372.141242,1011.898168,1698.64755,4022.116263,4064.128186,3296.654315,4.478688812,12.46822864,12,798,3409.109638,1471.268867,16.84881739,22.87261206,14.05780812,198.4472995,18.89637619,11.65833974,115.7806876,13.59856518,41.21306024,30.64299743,15.14065157,78.98824785,7.508754779,7.86059708,0.163980413,11.42466367,11.50101242,12,81213.59026
HAUT PLATEAU OUEST,Algeria,HAUT PLATEAU OUEST,,,HAUT PLATEAU OUEST,Algeria,HAUT PLATEAU OUEST,El Bayadh|NaÃ¢ma|SaÃ¯da|Tiaret|Tissemsilt,,,33.30032869,970.6574823,2373.466678,177.9149038,200.4482203,-2375.835536,363.3139138,-2606.984218,72.42831909,288.5965757,295.6082872,179.1508515,13.14960966,43.10036132,55.59806165,3.91889055,16.49333128,21.35845365,26.92628774,75.5219679,-2381.3357,5247.172176,8.10E-05,9.18E-05,220.9257231,211.8860981,312.2437089,0.155894632,80.18587276,4.538175598,0.012476677,0.038019702,0.134725622,2.016037608,0.366925495,0.004208231,0,12.60865621,0,0.104212707,4.642388305,216.4501463,0,3193.418553,353.0822056,18013.49404,4903.288664,5276.745164,9331.764578,4901.802581,8202.29347,6642.998784,213.8050835,5968.048006,3147.102078,60.87177311,5986.892017,13206.75825,0.000605918,-0.000454934,-4.06E-06,-4.76E-06,-0.077290607,0.074122714,0.021251091,949.9356696,-0.026586238,-1.34E-05,17.45278353,1.47751201,4.95E-06,5.487298386,-0.221235118,0.000428162,0.00497128,55.11144685,0.060662049,1.130084578,2536.646096,21.8076178,0,0.058047485,402.7024392,1087.273441,16.4135346,3171.56971,2.703844779,1581.619124,1707.982537,3099.544888,4139.868673,965.8684129,1783.01797,4891.051959,5149.091931,4761.16254,0.66026206,25.80661998,12,797,8959.66824,1513.220648,15.2616359,12.33121659,6.435667451,199.0014234,11.28954222,4.882824462,44.58447365,5.388656692,38.9719382,14.78575618,13.68824504,80.01727797,1.547924664,2.465329124,0.013325725,5.792775453,4.845178623,12,81213
NORD CENTRE,Algeria,NORD CENTRE,,,NORD CENTRE,Algeria,NORD CENTRE,AÃ¯n Defla|Alger|BÃ©jaÃ¯a|Blida|Bouira|BoumerdÃ¨s|Chlef|MÃ©dÃ©a|Tipaza|Tizi Ouzou,,,36.29529961,3700.436924,1720.700287,164.6094012,567.7313098,-2370.469134,326.8312616,-2625.73486,84.60215387,253.0930529,262.5433108,100.2662199,36.29243572,54.62873442,227.4758443,5.552222802,22.61739945,26.29116912,88.74378804,251.4133633,-2440.961185,3695.986773,0.001007777,0.001065431,431.7860752,432.6497106,772.2153447,0.61001138,8.891614427,41.36916842,3.196894065,3.814414372,1.362902928,0.612997452,8.11109979,0.335045818,0.024627671,30.10411578,0,2.184203392,43.55337181,8119.692376,0,4489.83387,980.4687909,150370.2408,2383.426169,27809.18112,27147.00656,9336.146011,3284.108853,1249.048277,1100.510856,19737.91269,8346.78192,312.3601995,764.4523825,110279.8693,-0.001174735,0.008595023,-2.57E-07,-1.34E-05,0.049100216,0.001649748,0.008187471,566.8491719,0.001605201,-4.14E-05,77.99077304,6.86407188,2.84E-05,24.95086691,-0.531934057,0.003553006,0.202230045,44.59209802,0.529944936,22.95599121,5686.201487,393.9946994,0,1.443910412,3879.963827,2330.647379,33.5061664,9856.1448,7.315432463,4013.851854,6092.665281,1256.867345,2654.797069,578.1581314,1039.124614,3006.354492,2710.501067,1946.126117,6.963308547,5.849654789,12,798,1118.033779,1471.466374,22.09807686,28.60849812,16.39458737,196.2156803,22.86435026,16.57304939,199.1650025,21.83967719,41.57560796,34.01827723,13.29167355,73.29896798,14.32230944,9.406005561,0.148410313,21.9673184,16.27644693,12,81213.91385
NORD EST,Algeria,NORD EST,,,NORD EST,Algeria,NORD EST,Annaba|Constantine|El Tarf|Guelma|Jijel|Mila|Skikda|Souk Ahras,,,36.49281085,4689.508079,1658.585732,166.3243536,690.3272932,-2361.388496,321.3764237,-2625.921476,89.23343525,249.4769491,259.5565873,97.68723559,38.8137281,52.61418331,271.5204571,5.636061358,30.36785833,35.92087796,110.1401567,308.7881979,-2448.937313,3466.761287,0.005198447,0.004852299,463.9777767,466.0816908,849.3169755,0.653091754,2.69993981,60.4909159,5.131596249,4.683256088,0.578240744,0.328853984,9.038387594,0.509360922,0.049347445,14.51483166,0,1.981159283,62.47207518,9794.915104,0,4809.782716,799.0619227,136649.2975,2342.440812,26938.6838,27174.52584,9333.017628,3292.548782,1239.0162,1064.169505,19674.33765,8347.870192,301.8456545,755.461112,99765.37659,0.000288831,0.009493136,-3.81E-06,-1.15E-05,0.074781411,0.028378999,0.020198247,522.4146225,0.000890272,-4.01E-05,68.92483005,6.112096285,2.55E-05,21.92260201,-0.447802538,0.002717186,0.156373899,37.75436977,0.666760621,14.98584201,7282.899078,254.6282232,0,1.005116725,4173.200059,2795.736649,40.46429256,12889.83837,10.98493478,4720.08924,7985.627683,1074.787099,2706.172176,517.0688379,926.7765815,3045.167122,2590.521178,1725.327519,9.128660248,5.803838121,12,798,945.2162352,1455.850069,22.08544195,30.2133793,15.07795788,198.1227184,23.58058604,18.82661012,219.6153337,24.80639616,42.11071823,34.39342634,13.09348602,70.83570769,16.82335124,6.77372839,0.171563315,27.14588023,16.53159341,12,81214
NORD OUEST,Algeria,NORD OUEST,,,NORD OUEST,Algeria,NORD OUEST,AÃ¯n TÃ©mouchent|Mascara|Mostaganem|Oran|Relizane|Sidi Bel AbbÃ¨s|Tlemcen,,,35.14998492,2210.863668,1810.988255,170.7893918,354.6095683,-2349.051789,333.3380474,-2618.664243,92.88296186,257.2737766,265.202949,120.9429883,40.13871574,51.40469004,127.0131416,4.206683779,16.72905711,19.96977755,51.27442393,140.0683419,-2438.300679,3423.919486,0.000309752,0.000357347,337.9239962,334.7723603,554.3992807,0.568082825,16.85559514,38.88544728,0.191815694,0.391083059,0.485418119,1.514539747,0.811512258,0.261420343,0.006279706,39.23850451,0,1.379878222,40.2653255,753.398509,0,3933.234303,926.8867726,124878.1215,2415.509329,23611.18508,24914.61784,9038.511829,4069.301643,1817.951668,942.964575,17716.3286,7756.590199,268.5906899,1213.757722,93883.39766,-0.002508251,0.006793463,-3.51E-08,-6.62E-06,0.09369321,-0.018684609,0.004855806,600.5181555,0.030940869,-2.49E-05,38.71390742,3.331594634,1.71E-05,12.35051358,-0.308941486,0.001195677,0.036466004,41.96947555,0.179887772,11.38884219,5184.168053,195.7584273,0,0.85465309,2361.647754,1813.514987,24.87778339,5864.54322,4.395300927,2906.596788,3482.973219,1716.439473,2940.491129,701.6422853,1237.384579,3524.639371,3486.55059,2771.65256,5.312885567,11.93421074,12,798,1964.242234,1514.395147,19.50322386,26.22057293,12.89061151,198.4796931,20.59780734,11.33889969,145.0805765,15.37565055,40.15678162,31.07838698,13.61998106,78.24390524,6.941089314,7.144216619,0.167179385,11.854374,14.26353658,12,81214
SUD,Algeria,SUD,,,SUD,Algeria,SUD,Adrar|BÃ©char|Biskra|El Oued|GhardaÃ¯a|Illizi|Ouargla|Tamanghasset|Tindouf,,,26.90478299,95.04491368,3487.005218,243.9744407,32.44640639,-2341.648516,412.2395475,-2591.079736,126.6707281,314.0470117,347.2803812,227.7553001,51.02749324,68.15869967,10.10038366,0.367585253,1.808255635,4.041675763,6.409231949,16.03824052,-2370.287947,5268.848278,5.79E-06,3.78E-06,328.9312377,325.4454988,529.9746901,0.028196785,99.68149342,0.028336192,0,0.000377448,0.000152386,0.078406437,0.007336481,0.007417543,1.41E-05,0.181205442,0,0.015640204,0.043976396,4.540359656,1.98E-08,2024.192485,210.8887042,2424.840758,5780.122485,1537.074805,4801.658119,3606.866364,9276.39871,8120.482343,64.2692361,2805.904965,1775.908512,18.55298989,7505.195008,1741.339033,4.31E-05,-0.000183529,-3.73E-06,-3.00E-06,-0.013579676,0.000382365,0.004760898,508.321923,-0.005480124,-1.47E-05,14.6715813,1.181070181,7.67E-06,4.620742747,-0.197628808,0.000358606,4.89E-05,44.67432808,0.031533322,0.131345147,152.7158797,2.317014127,0,0.016197853,102.8261042,802.6847654,13.1108306,1258.046387,2.084858178,1075.900013,416.3337112,3631.753689,4474.557094,1273.757041,2281.98459,5360.365804,5847.539277,5532.39746,0.004392718,19.92656317,13,845.2091375,13419.1587,1468.45898,14.52743717,6.075844442,3.477361531,197.3723257,6.747542039,2.317459161,14.87667649,2.021963373,39.91791704,5.617536071,12.61093633,80.5129238,0.251469725,0.92550431,0.000885867,8.890404178,1.483746251,13,81327
Barishal,Bangladesh,Barishal,,,Barishal,Bangladesh,Barisal,,,,22.4264557,15137.96657,1639.682896,259.1146231,2525.167434,-2359.425317,322.2554591,-2665.867291,197.2088111,197.2088111,288.070808,282.7962848,148.4561047,89.6683647,31.16027708,8.450543296,31.16027708,624.6580421,542.1811593,1583.508489,-2557.70067,520.2630227,2.515936035,0.506181062,402.3215939,402.2821518,697.4257089,0.658327283,0.310628607,83.86910638,1.08032073,1.100886073,0.04954649,0.383160822,1.578993914,6.553182341,4.591844183,0.377674515,0.005329049,0.090363926,83.9594703,1649.150474,1.34E-07,5271.866604,740.8551421,198247.4368,1505.433436,29724.34756,26434.05929,9308.965134,3274.16312,1311.619961,1114.902952,19166.49905,8267.828631,316.9394421,818.4442478,123387.9303,-3.84E-06,-2.11E-05,-1.28E-06,-1.45E-06,-0.001858846,-5.84E-05,-0.00015122,5.765089818,-0.001038971,-3.71E-06,4.220935864,0.261908447,1.36E-06,1.418079962,-0.067417325,1.23E-05,0,1.644727105,1.153612272,57.11446608,33223.48808,902.3357153,0.018420061,0.273208503,594.7903262,3189.07333,40.49570446,13868.96293,11.29249194,5049.937912,5856.872244,694.9882608,2533.918086,441.118629,771.9525434,2416.236764,1713.02926,912.8088602,0.927628808,49.65339353,14,323,8406.289617,1214.762757,22.24321393,33.96200887,9.185514686,199.9100139,26.74136816,34.01981734,177.8565902,28.35665051,49.4726163,35.99192971,15.53572264,57.29554693,16.46415048,4.564924971,0.7224725,22.71305444,20.74503838,14,41406
Chattogram,Bangladesh,Chattogram,,,Chattogram,Bangladesh,Chittagong,,,,22.70929015,17654.06668,1620.355612,250.0311598,2844.115349,-2313.49932,319.5556131,-2653.298735,191.3479955,191.3479955,277.8591399,272.0832763,134.5950067,90.14897788,29.55668755,8.400043026,29.55668755,927.8304647,627.640739,1808.453243,-2546.539392,380.2861628,1.001820789,0.30103127,469.7977697,471.4779529,869.2638452,0.553460254,0.290268857,48.20311293,2.070106736,17.61297971,0.116650559,0.409001837,13.00477393,2.943771546,2.697104266,12.10222411,0.001634777,0.547622046,48.75073497,18668.2615,2.35E-07,5139.125289,592.7654666,152889.8627,1820.159718,26468.78546,26553.66313,9270.9906,3485.595914,1341.170612,1017.529175,18927.18833,8209.660756,289.0996511,817.2896473,104555.185,-0.002633204,-0.000674591,-1.07E-05,-8.62E-07,-0.03331192,-0.060780754,-0.018490456,70.66821994,-0.011800634,-2.16E-05,29.52383884,2.3234355,1.04E-05,9.830147567,-0.351326994,0.001211414,0.014646063,8.663015064,2.212161809,64.58919109,11718.54418,1097.065006,0.002981533,0.513760717,3484.046144,3874.249022,51.95814862,17453.74738,20.1409152,6184.919853,7036.161887,529.3844194,2692.669297,321.4446212,639.3078527,2642.002128,1745.773011,850.007708,6.194784547,30.85108377,1,238,5716.374405,1226.033628,20.88239033,33.05822435,16.53603201,193.4249856,25.62838739,29.21163957,208.2434589,27.26769222,48.85469801,30.03739757,15.25646826,56.17187733,32.01455933,9.270062965,0.519109927,48.2718015,16.13295576,1,40120
Dhaka,Bangladesh,Dhaka,,,Dhaka,Bangladesh,Dhaka,,,,24.18129307,13148.26481,1608.446864,252.147661,2362.407142,-2296.063622,323.2065502,-2645.449588,184.2266057,184.2266057,285.5124324,283.5695442,125.6153276,83.74532403,32.21599238,9.946280089,32.21599238,1137.70856,451.5249388,1316.870098,-2533.90878,962.044164,1.935032501,0.510162058,344.252281,341.5567633,562.7360891,0.740688172,0.200576283,90.90842131,0.218332214,0.079925739,0.047997996,0.62967269,0.849990967,3.397243171,1.955694948,0.495602352,0.00024237,1.21454432,92.12296563,516.4191952,2.17E-08,5218.84861,688.6899065,144760.1776,1734.685268,27322.10121,26808.397,9304.320072,3311.01303,1289.591756,1034.360016,19299.54083,8286.028828,293.7737193,788.9955023,96660.98811,3.53E-05,-0.000143744,-9.07E-07,-7.52E-07,-0.032494053,0.021287174,0.002271419,11.80063676,-0.006772281,-2.09E-06,3.880123948,0.247448903,7.15E-07,1.302860264,-0.038738031,1.12E-05,0.000612563,1.773516916,1.097616045,112.1524015,30878.84482,1973.575694,0,0.686518552,658.4796293,3149.021126,39.74824517,11314.95665,10.29597815,5210.67807,5196.280922,664.951886,2358.646522,410.1542904,739.7575854,2243.607188,1636.763085,907.087752,0.53152514,49.65638438,1,238,5868.129673,1269.939677,20.49510209,32.9332055,9.319827359,199.9925923,25.41214302,26.35178071,175.8894753,24.39072328,47.61288526,33.04305707,14.96636478,58.48260795,9.402168816,2.602930992,0.983414532,12.75364171,21.23784279,1,40120
