variable,cluster
Abs_Lat,1
CHELSA_BIO_Annual_Mean_Temperature,1
CHELSA_BIO_Isothermality,1
CHELSA_BIO_Mean_Temperature_of_Coldest_Quarter,1
CHELSA_BIO_Mean_Temperature_of_Driest_Quarter,1
CHELSA_BIO_Min_Temperature_of_Coldest_Month,1
CHELSA_BIO_Temperature_Annual_Range,1
CHELSA_BIO_Temperature_Seasonality,1
SG_Silt_Content_015cm,1
CGIAR_Aridity_Index,2
CHELSA_BIO_Mean_Diurnal_Range,2
EarthEnvCloudCover_Mean,2
SG_Soil_pH_H2O_015cm,2
CGIAR_PET,3
CHELSA_BIO_Max_Temperature_of_Warmest_Month,3
CHELSA_BIO_Mean_Temperature_of_Warmest_Quarter,3
CHELSA_BIO_Mean_Temperature_of_Wettest_Quarter,3
SG_Clay_Content_015cm,3
CHELSA_BIO_Annual_Precipitation,4
CHELSA_BIO_Precipitation_of_Coldest_Quarter,4
CHELSA_BIO_Precipitation_of_Warmest_Quarter,4
CHELSA_BIO_Precipitation_of_Wettest_Month,4
CHELSA_BIO_Precipitation_of_Wettest_Quarter,4
CHELSA_BIO_Precipitation_Seasonality,5
CHELSA_BIO_Precipitation_of_Driest_Month,5
CHELSA_BIO_Precipitation_of_Driest_Quarter,5
CIFOR_TropicalPeatlandDepth,6
CIFOR_TropicalPeatlandExtent,6
CMS_HeterotrophicRespiration_usingEquationFromBondLamberty2004,7
CMS_HeterotrophicRespiration_usingEquationFromSubke2006,7
CMS_SoilRespiration_mean,7
MODIS_EVI,7
MODIS_FPAR,7
MODIS_GPP,7
MODIS_LAI,7
MODIS_NDVI,7
MODIS_NPP,7
CSP_Global_Human_Modification,8
ConsensusLandCoverClass_Cultivated_and_Managed_Vegetation,8
ConsensusLandCover_Human_Development_Percentage,8
WCS_Human_Footprint_2009,8
ConsensusLandCoverClass_Barren,9
MODIS_Nadir_Reflectance_Band1,9
MODIS_Nadir_Reflectance_Band2,9
MODIS_Nadir_Reflectance_Band3,9
MODIS_Nadir_Reflectance_Band4,9
ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,10
ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,11
IPCC_Global_Biomass,11
NASA_ForestCanopyHeight,11
SpawnEtAl_HarmonizedAGBiomass,11
SpawnEtAl_HarmonizedBGBiomass,11
UNEP_WCMC_Biomass,11
ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,12
MODIS_Nadir_Reflectance_Band5,12
MODIS_Nadir_Reflectance_Band6,12
MODIS_Nadir_Reflectance_Band7,12
ConsensusLandCoverClass_Herbaceous_Vegetation,13
ConsensusLandCoverClass_Mixed_Other_Trees,14
CrowtherLab_Tree_Density,14
ConsensusLandCoverClass_Open_Water,15
ConsensusLandCoverClass_Regularly_Flooded_Vegetation,16
TootchiEtAl_WetlandsRegularlyFlooded,16
ConsensusLandCoverClass_Shrubs,17
ConsensusLandCoverClass_Snow_Ice,18
ConsensusLandCoverClass_Urban_Builtup,19
GoshEtAl_GlobalGDP2006,19
EarthEnvCloudCover_CloudForestPrediction,20
EarthEnvTexture_CoOfVar_EVI,21
EarthEnvTexture_Contrast_EVI,21
EarthEnvTexture_Dissimilarity_EVI,21
EarthEnvTexture_Range_EVI,21
EarthEnvTexture_Std_EVI,21
EarthEnvTexture_Variance_EVI,21
EarthEnvTexture_Correlation_EVI,22
EarthEnvTexture_Entropy_EVI,23
EarthEnvTexture_Evenness_EVI,23
EarthEnvTexture_Homogeneity_EVI,23
EarthEnvTexture_Maximum_EVI,23
EarthEnvTexture_Shannon_Index,23
EarthEnvTexture_Simpson_Index,23
EarthEnvTexture_Uniformity_EVI,23
EarthEnvTopoMed_1stOrderPartialDerivEW,24
EarthEnvTopoMed_1stOrderPartialDerivNS,25
EarthEnvTopoMed_2ndOrderPartialDerivEW,26
EarthEnvTopoMed_2ndOrderPartialDerivNS,26
EarthEnvTopoMed_ProfileCurvature,26
EarthEnvTopoMed_TangentialCurvature,26
EarthEnvTopoMed_TopoPositionIndex,26
EarthEnvTopoMed_AspectCosine,27
EarthEnvTopoMed_Northness,27
EarthEnvTopoMed_AspectSine,28
EarthEnvTopoMed_Eastness,28
EarthEnvTopoMed_Elevation,29
SG_Coarse_fragments_015cm,29
EarthEnvTopoMed_Roughness,30
EarthEnvTopoMed_Slope,30
EarthEnvTopoMed_TerrainRuggednessIndex,30
EarthEnvTopoMed_VectorRuggednessMeasure,30
FanEtAl_Depth_to_Water_Table_AnnualMean,30
EsaCci_BurntAreasProbability,31
FanEtAl_Depth_to_Water_Table_AnnualSD,32
GHS_Population_Density,33
GLW3_RuminantsDistribution_downsampled10km,34
GPWv4_Population_Density,34
GiriEtAl_MangrovesExtent,35
PelletierEtAl_SoilAndSedimentaryDepositThicknesses,36
SG_Absolute_depth_to_bedrock,36
SG_Bulk_density_015cm,37
SG_Saturated_H2O_Content_015cm,37
SG_Soil_H2O_Capacity_pF_20_015cm,37
SG_CEC_015cm,38
SG_H2O_Capacity_015cm,38
SG_SOC_Content_015cm,38
SG_SOC_Density_015cm,38
SG_SOC_Stock_005cm_to_015cm,38
SG_Depth_to_bedrock,39
