"","min_rows","mtries","ntrees","sample_rate","model_ids","r2"
"1",3,13,100,0.6,"rf.grid_e.coli_model_11",0.442014211830759
"2",1,13,100,0.6,"rf.grid_e.coli_model_31",0.442014211830759
"3",5,13,100,0.6,"rf.grid_e.coli_model_7",0.442014211830759
"4",1,10,100,0.6,"rf.grid_e.coli_model_22",0.436572445099152
"5",5,10,100,0.6,"rf.grid_e.coli_model_39",0.436572445099152
"6",3,10,100,0.6,"rf.grid_e.coli_model_6",0.436572445099152
"7",1,13,200,0.6,"rf.grid_e.coli_model_20",0.433253332700726
"8",5,13,200,0.6,"rf.grid_e.coli_model_34",0.433253332700726
"9",3,13,200,0.6,"rf.grid_e.coli_model_44",0.433253332700726
"10",1,10,200,0.6,"rf.grid_e.coli_model_17",0.427135470510544
"11",5,10,200,0.6,"rf.grid_e.coli_model_2",0.427135470510544
"12",3,10,200,0.6,"rf.grid_e.coli_model_47",0.427135470510544
"13",1,13,100,0.8,"rf.grid_e.coli_model_36",0.427010777868404
"14",3,13,100,0.8,"rf.grid_e.coli_model_38",0.427010777868404
"15",5,13,100,0.8,"rf.grid_e.coli_model_9",0.427010777868404
"16",3,13,200,0.8,"rf.grid_e.coli_model_15",0.424395913144541
"17",5,13,200,0.8,"rf.grid_e.coli_model_4",0.424395913144541
"18",1,13,200,0.8,"rf.grid_e.coli_model_42",0.424395913144541
"19",3,6,200,0.8,"rf.grid_e.coli_model_40",0.421435299229113
"20",5,6,200,0.8,"rf.grid_e.coli_model_46",0.421435299229113
"21",1,6,200,0.8,"rf.grid_e.coli_model_8",0.421435299229113
"22",1,6,200,0.6,"rf.grid_e.coli_model_16",0.421027309407446
"23",5,6,200,0.6,"rf.grid_e.coli_model_19",0.421027309407446
"24",3,6,200,0.6,"rf.grid_e.coli_model_5",0.421027309407446
"25",1,6,100,0.6,"rf.grid_e.coli_model_13",0.417387714814748
"26",3,6,100,0.6,"rf.grid_e.coli_model_25",0.417387714814748
"27",5,6,100,0.6,"rf.grid_e.coli_model_26",0.417387714814748
"28",5,6,100,0.8,"rf.grid_e.coli_model_29",0.414966550385819
"29",1,6,100,0.8,"rf.grid_e.coli_model_37",0.414966550385819
"30",3,6,100,0.8,"rf.grid_e.coli_model_43",0.414966550385819
"31",5,10,200,0.8,"rf.grid_e.coli_model_12",0.411785729893581
"32",3,10,200,0.8,"rf.grid_e.coli_model_23",0.411785729893581
"33",1,10,200,0.8,"rf.grid_e.coli_model_24",0.411785729893581
"34",3,10,100,0.8,"rf.grid_e.coli_model_14",0.406280737063481
"35",5,10,100,0.8,"rf.grid_e.coli_model_28",0.406280737063481
"36",1,10,100,0.8,"rf.grid_e.coli_model_35",0.406280737063481
"37",3,20,200,0.6,"rf.grid_e.coli_model_21",0.39603976424957
"38",1,20,200,0.6,"rf.grid_e.coli_model_33",0.39603976424957
"39",5,20,200,0.6,"rf.grid_e.coli_model_48",0.39603976424957
"40",3,20,200,0.8,"rf.grid_e.coli_model_10",0.387750008959826
"41",1,20,200,0.8,"rf.grid_e.coli_model_18",0.387750008959826
"42",5,20,200,0.8,"rf.grid_e.coli_model_30",0.387750008959826
"43",1,20,100,0.8,"rf.grid_e.coli_model_1",0.387116305331855
"44",5,20,100,0.8,"rf.grid_e.coli_model_27",0.387116305331855
"45",3,20,100,0.8,"rf.grid_e.coli_model_41",0.387116305331855
"46",1,20,100,0.6,"rf.grid_e.coli_model_3",0.381727256737286
"47",3,20,100,0.6,"rf.grid_e.coli_model_32",0.381727256737286
"48",5,20,100,0.6,"rf.grid_e.coli_model_45",0.381727256737286
